Company Name,year,count
ISRO,2003,2
ISRO,2004,1
ISRO,2005,1
ISRO,2006,1
ISRO,2007,3
ISRO,2008,3
ISRO,2009,2
ISRO,2010,3
ISRO,2011,3
ISRO,2012,3
ISRO,2013,3
ISRO,2014,5
ISRO,2015,5
ISRO,2016,7
ISRO,2017,5
ISRO,2018,7
ISRO,2019,6
JAXA,2013,1
JAXA,2016,1
JAXA,2017,1
JAXA,2018,2
JAXA,2019,1
JAXA,2020,1
KARI,2009,1
KARI,2010,1
KARI,2013,1
KCST,1998,1
KCST,2009,1
KCST,2012,2
KCST,2016,1
Khrunichev,2014,1
Kosmotras,1999,1
Kosmotras,2000,1
Kosmotras,2002,1
Kosmotras,2004,1
Kosmotras,2005,1
Kosmotras,2006,2
Kosmotras,2007,3
Kosmotras,2008,2
Kosmotras,2009,1
Kosmotras,2010,3
Kosmotras,2011,1
Kosmotras,2013,2
Kosmotras,2014,2
Kosmotras,2015,1
Land Launch,2008,1
Land Launch,2009,3
Land Launch,2011,1
Land Launch,2013,1
Land Launch,2017,1
Landspace,2018,1
Lockheed,1990,1
Lockheed,1994,5
Lockheed,1995,12
Lockheed,1996,6
Lockheed,1997,8
Lockheed,1998,7
Lockheed,1999,10
Lockheed,2000,8
Lockheed,2001,7
Lockheed,2002,4
Lockheed,2003,6
Lockheed,2004,2
Lockheed,2005,3
MHI,1975,1
MHI,1976,1
MHI,1977,1
MHI,1978,1
MHI,1979,1
MHI,1980,1
MHI,1981,2
MHI,1982,1
MHI,1983,2
MHI,1984,2
MHI,1986,2
MHI,1987,2
MHI,1988,2
MHI,1989,1
MHI,1990,4
MHI,1991,2
MHI,1992,1
MHI,1994,2
MHI,1995,1
MHI,1996,1
MHI,1997,1
MHI,1998,1
MHI,1999,1
MHI,2001,1
MHI,2002,3
MHI,2003,2
MHI,2005,1
MHI,2006,4
MHI,2007,2
MHI,2008,1
MHI,2009,3
MHI,2010,1
MHI,2011,4
MHI,2012,2
MHI,2013,2
MHI,2014,4
MHI,2015,4
MHI,2016,3
MHI,2017,6
MHI,2018,4
MHI,2019,1
MHI,2020,2
MITT,1993,1
MITT,1995,1
MITT,1997,2
MITT,2000,1
MITT,2001,1
MITT,2006,1
Martin Marietta,1965,3
Martin Marietta,1966,3
Martin Marietta,1967,3
Martin Marietta,1968,2
Martin Marietta,1969,2
Martin Marietta,1970,2
Martin Marietta,1971,4
Martin Marietta,1972,5
Martin Marietta,1973,6
Martin Marietta,1974,5
Martin Marietta,1975,7
Martin Marietta,1976,7
Martin Marietta,1977,5
Martin Marietta,1978,7
Martin Marietta,1979,4
Martin Marietta,1980,3
Martin Marietta,1981,4
Martin Marietta,1982,4
Martin Marietta,1983,2
Martin Marietta,1984,6
Martin Marietta,1985,2
Martin Marietta,1986,1
Martin Marietta,1987,3
Martin Marietta,1988,3
Martin Marietta,1989,4
Martin Marietta,1990,5
Martin Marietta,1991,2
Martin Marietta,1992,3
Martin Marietta,1993,2
Martin Marietta,1994,5
NASA,1958,2
NASA,1959,1
NASA,1960,4
NASA,1961,12
NASA,1962,5
NASA,1963,2
NASA,1964,4
NASA,1965,9
NASA,1966,8
NASA,1967,2
NASA,1968,4
NASA,1969,4
NASA,1970,1
NASA,1971,2
NASA,1972,2
NASA,1973,4
NASA,1975,1
NASA,1981,2
NASA,1982,3
NASA,1983,4
NASA,1984,5
NASA,1985,9
NASA,1986,2
NASA,1988,2
NASA,1989,5
NASA,1990,6
NASA,1991,6
NASA,1992,8
NASA,1993,7
NASA,1994,7
NASA,1995,7
NASA,1996,7
NASA,1997,8
NASA,1998,5
NASA,1999,3
NASA,2000,5
NASA,2001,6
NASA,2002,5
NASA,2003,1
NASA,2005,1
NASA,2006,3
NASA,2007,3
NASA,2008,4
NASA,2009,6
NASA,2010,3
NASA,2011,3
Northrop,1990,1
Northrop,1991,1
Northrop,1993,2
Northrop,1994,4
Northrop,1995,2
Northrop,1996,5
Northrop,1997,5
Northrop,1998,8
Northrop,1999,4
Northrop,2000,5
Northrop,2001,1
Northrop,2002,1
Northrop,2003,4
Northrop,2004,1
Northrop,2005,3
Northrop,2006,3
Northrop,2007,2
Northrop,2008,2
Northrop,2009,2
Northrop,2010,2
Northrop,2011,4
Northrop,2012,1
Northrop,2013,5
Northrop,2014,3
Northrop,2016,2
Northrop,2017,3
Northrop,2018,2
Northrop,2019,3
Northrop,2020,2
OKB-586,1967,1
OKB-586,1968,1
OneSpace,2019,1
RAE,1970,1
RAE,1971,1
RVSN USSR,1957,2
RVSN USSR,1958,5
RVSN USSR,1959,4
RVSN USSR,1960,9
RVSN USSR,1961,9
RVSN USSR,1962,22
RVSN USSR,1963,24
RVSN USSR,1964,36
RVSN USSR,1965,53
RVSN USSR,1966,51
RVSN USSR,1967,74
RVSN USSR,1968,79
RVSN USSR,1969,82
RVSN USSR,1970,87
RVSN USSR,1971,93
RVSN USSR,1972,79
RVSN USSR,1973,84
RVSN USSR,1974,83
RVSN USSR,1975,89
RVSN USSR,1976,95
RVSN USSR,1977,97
RVSN USSR,1978,71
RVSN USSR,1979,36
RVSN USSR,1980,40
RVSN USSR,1981,51
RVSN USSR,1982,53
RVSN USSR,1983,46
RVSN USSR,1984,42
RVSN USSR,1985,51
RVSN USSR,1986,49
RVSN USSR,1987,42
RVSN USSR,1988,36
RVSN USSR,1989,26
RVSN USSR,1990,37
RVSN USSR,1991,28
RVSN USSR,1992,9
RVSN USSR,1995,1
RVSN USSR,1996,1
RVSN USSR,1998,1
Rocket Lab,2017,1
Rocket Lab,2018,3
Rocket Lab,2019,6
Rocket Lab,2020,3
Roscosmos,1970,1
Roscosmos,2010,3
Roscosmos,2011,3
Roscosmos,2015,1
Roscosmos,2016,10
Roscosmos,2017,9
Roscosmos,2018,11
Roscosmos,2019,13
Roscosmos,2020,4
SRC,1998,1
SRC,2005,1
SRC,2006,1
Sandia,2015,1
Sea Launch,1999,2
Sea Launch,2000,3
Sea Launch,2001,2
Sea Launch,2002,1
Sea Launch,2003,3
Sea Launch,2004,3
Sea Launch,2005,4
Sea Launch,2006,5
Sea Launch,2007,1
Sea Launch,2008,5
Sea Launch,2009,1
Sea Launch,2011,1
Sea Launch,2012,3
Sea Launch,2013,1
Sea Launch,2014,1
SpaceX,2006,1
SpaceX,2007,1
SpaceX,2008,2
SpaceX,2009,1
SpaceX,2010,2
SpaceX,2012,2
SpaceX,2013,3
SpaceX,2014,6
SpaceX,2015,7
SpaceX,2016,9
SpaceX,2017,18
SpaceX,2018,21
SpaceX,2019,13
SpaceX,2020,14
Starsem,2003,1
ULA,2006,1
ULA,2007,13
ULA,2008,7
ULA,2009,16
ULA,2010,8
ULA,2011,11
