Country,year,count
Russia,1966,15
Russia,1967,37
Russia,1968,40
Russia,1969,45
Russia,1970,59
Russia,1971,62
Russia,1972,57
Russia,1973,67
Russia,1974,60
Russia,1975,66
Russia,1976,66
Russia,1977,72
Russia,1978,62
Russia,1979,33
Russia,1980,34
Russia,1981,41
Russia,1982,43
Russia,1983,40
Russia,1984,38
Russia,1985,39
Russia,1986,42
Russia,1987,30
Russia,1988,27
Russia,1989,22
Russia,1990,30
Russia,1991,25
Russia,1992,20
Russia,1993,21
Russia,1994,15
Russia,1995,10
Russia,1996,8
Russia,1997,7
Russia,1998,8
Russia,1999,4
Russia,2000,6
Russia,2001,5
Russia,2002,8
Russia,2003,7
Russia,2004,5
Russia,2005,7
Russia,2006,6
Russia,2007,5
Russia,2008,6
Russia,2009,5
Russia,2010,5
Russia,2011,2
Russia,2012,1
Russia,2013,7
Russia,2014,6
Russia,2015,4
Russia,2016,6
Russia,2017,6
Russia,2018,8
Russia,2019,9
Russia,2020,3
South Korea,2009,1
South Korea,2010,1
South Korea,2013,1
Spain,1997,2
United States,2015,1
United States of America,1957,1
United States of America,1958,23
United States of America,1959,16
United States of America,1960,30
United States of America,1961,43
United States of America,1962,60
United States of America,1963,17
United States of America,1964,24
United States of America,1965,33
United States of America,1966,47
United States of America,1967,26
United States of America,1968,22
United States of America,1969,17
United States of America,1970,11
United States of America,1971,16
United States of America,1972,17
United States of America,1973,17
United States of America,1974,10
United States of America,1975,15
United States of America,1976,13
United States of America,1977,14
United States of America,1978,21
United States of America,1979,9
United States of America,1980,11
United States of America,1981,13
United States of America,1982,11
United States of America,1983,13
United States of America,1984,17
United States of America,1985,16
United States of America,1986,6
United States of America,1987,6
United States of America,1988,7
United States of America,1989,16
United States of America,1990,26
United States of America,1991,18
United States of America,1992,27
United States of America,1993,24
United States of America,1994,26
United States of America,1995,30
United States of America,1996,33
United States of America,1997,36
United States of America,1998,36
United States of America,1999,31
United States of America,2000,28
United States of America,2001,22
United States of America,2002,17
United States of America,2003,23
United States of America,2004,16
United States of America,2005,12
United States of America,2006,18
United States of America,2007,19
United States of America,2008,15
United States of America,2009,25
United States of America,2010,15
United States of America,2011,18
United States of America,2012,13
United States of America,2013,19
United States of America,2014,23
United States of America,2015,21
United States of America,2016,27
United States of America,2017,30
United States of America,2018,34
United States of America,2019,27
United States of America,2020,21
