Item,Location,Longitude,Latitude
101, Xichang Satellite Launch Center China,102.02793799844264,28.24576155
102, Jiuquan Satellite Launch Center China,100.2838214916303,40.964989
103, Taiyuan Satellite Launch Center China,111.60532243338425,38.84978335
104, Jiuquan Satellite Launch Center China,100.2838214916303,40.964989
105, Plesetsk Cosmodrome Russia,40.574814,62.927843
106, Semnan Space Center Iran,53.897056783100155,35.221533550000004
107, Cape Canaveral AFS Florida USA,-80.572293,28.488798
108, Baikonur Cosmodrome Kazakhstan,63.40837213703634,45.917893199999995
109, M?hia Peninsula New Zealand,177.864944,-39.261508
110, Xichang Satellite Launch Center China,102.02793799844264,28.24576155
111, Jiuquan Satellite Launch Center China,100.2838214916303,40.964989
112, Cape Canaveral AFS Florida USA,-80.572293,28.488798
113, Cape Canaveral AFS Florida USA,-80.572293,28.488798
114, Guiana Space Centre French Guiana France,-52.77388326708221,5.21237515
115, Baikonur Cosmodrome Kazakhstan,63.40837213703634,45.917893199999995
116, Baikonur Cosmodrome Kazakhstan,63.40837213703634,45.917893199999995
117, Plesetsk Cosmodrome Russia,40.574814,62.927843
118, Xichang Satellite Launch Center China,102.02793799844264,28.24576155
119, Cape Canaveral AFS Florida USA,-80.572293,28.488798
120, Jiuquan Satellite Launch Center China,100.2838214916303,40.964989
121, Satish Dhawan Space Centre India,80.16460301880002,13.72376835
122, Baikonur Cosmodrome Kazakhstan,63.40837213703634,45.917893199999995
123, Baikonur Cosmodrome Kazakhstan,63.40837213703634,45.917893199999995
124, Guiana Space Centre French Guiana France,-52.77388326708221,5.21237515
125, Plesetsk Cosmodrome Russia,40.574814,62.927843
126, Vostochny Cosmodrome Russia,128.33086879328096,51.881337849999994
127, Spaceport America New Mexico,-106.97201467147372,32.9897111
128, M?hia Peninsula New Zealand,177.864944,-39.261508
129, Kennedy Space Center Florida USA,-80.68036706230734,28.5225289
130, Xichang Satellite Launch Center China,102.02793799844264,28.24576155
131, Guiana Space Centre French Guiana France,-52.77388326708221,5.21237515
132, Vandenberg AFB California USA,-120.58262457020024,34.73835455
133,"Tai Rui Barge, Yellow Sea",None,None
134, Baikonur Cosmodrome Kazakhstan,63.40837213703634,45.917893199999995
135, Plesetsk Cosmodrome Russia,40.574814,62.927843
136, Cape Canaveral AFS Florida USA,-80.572293,28.488798
137, Taiyuan Satellite Launch Center China,111.60532243338425,38.84978335
138, Satish Dhawan Space Centre India,80.16460301880002,13.72376835
139, Xichang Satellite Launch Center China,102.02793799844264,28.24576155
140, M?hia Peninsula New Zealand,177.864944,-39.261508
141, Cape Canaveral AFS Florida USA,-80.572293,28.488798
142, West Texas Texas USA,-98.1626132,26.172826
143,"Taiyuan Satellite Launch Center, China",111.60532243338425,38.84978335
144, Xichang Satellite Launch Center China,102.02793799844264,28.24576155
145, Wallops Flight Facility Virginia USA,-75.49639969025829,37.855614700000004
146, Kennedy Space Center Florida USA,-80.68036706230734,28.5225289
147, Guiana Space Centre French Guiana France,-52.77388326708221,5.21237515
148, Baikonur Cosmodrome Kazakhstan,63.40837213703634,45.917893199999995
149, Satish Dhawan Space Centre India,80.16460301880002,13.72376835
150, Xichang Satellite Launch Center China,102.02793799844264,28.24576155
151, M?hia Peninsula New Zealand,177.864944,-39.261508
152, Jiuquan Satellite Launch Center China,100.2838214916303,40.964989
153, Guiana Space Centre French Guiana France,-52.77388326708221,5.21237515
154, Cape Canaveral AFS Florida USA,-80.572293,28.488798
155, Baikonur Cosmodrome Kazakhstan,63.40837213703634,45.917893199999995
156, Xichang Satellite Launch Center China,102.02793799844264,28.24576155
157, Spaceport America New Mexico,-106.97201467147372,32.9897111
158, Kennedy Space Center Florida USA,-80.68036706230734,28.5225289
159, Guiana Space Centre French Guiana France,-52.77388326708221,5.21237515
160, Cape Canaveral AFS Florida USA,-80.572293,28.488798
161, Baikonur Cosmodrome Kazakhstan,63.40837213703634,45.917893199999995
162, Guiana Space Centre French Guiana France,-52.77388326708221,5.21237515
163, Semnan Space Center Iran,53.897056783100155,35.221533550000004
164, Satish Dhawan Space Centre India,80.16460301880002,13.72376835
165, West Texas Texas USA,-98.1626132,26.172826
166, Jiuquan Satellite Launch Center China,100.2838214916303,40.964989
167, Vandenberg AFB California USA,-120.58262457020024,34.73835455
168, Uchinoura Space Center Japan,131.07879609473065,31.25411165
169, Semnan Space Center Iran,53.897056783100155,35.221533550000004
170, Vandenberg AFB California USA,-120.58262457020024,34.73835455
171, Xichang Satellite Launch Center China,102.02793799844264,28.24576155
172, Jiuquan Satellite Launch Center China,100.2838214916303,40.964989
173, Vostochny Cosmodrome Russia,128.33086879328096,51.881337849999994
174, Xichang Satellite Launch Center China,102.02793799844264,28.24576155
175, Cape Canaveral AFS Florida USA,-80.572293,28.488798
176, Jiuquan Satellite Launch Center China,100.2838214916303,40.964989
177, Baikonur Cosmodrome Kazakhstan,63.40837213703634,45.917893199999995
178, Guiana Space Centre French Guiana France,-52.77388326708221,5.21237515
179, Satish Dhawan Space Centre India,80.16460301880002,13.72376835
180, M?hia Peninsula New Zealand,177.864944,-39.261508
181, Xichang Satellite Launch Center China,102.02793799844264,28.24576155
182, Jiuquan Satellite Launch Center China,100.2838214916303,40.964989
183, Cape Canaveral AFS Florida USA,-80.572293,28.488798
184, Guiana Space Centre French Guiana France,-52.77388326708221,5.21237515
185, Vandenberg AFB California USA,-120.58262457020024,34.73835455
186, Baikonur Cosmodrome Kazakhstan,63.40837213703634,45.917893199999995
187, Plesetsk Cosmodrome Russia,40.574814,62.927843
188, Satish Dhawan Space Centre India,80.16460301880002,13.72376835
189, Guiana Space Centre French Guiana France,-52.77388326708221,5.21237515
190, Jiuquan Satellite Launch Center China,100.2838214916303,40.964989
191, Xichang Satellite Launch Center China,102.02793799844264,28.24576155
192, Wallops Flight Facility Virginia USA,-75.49639969025829,37.855614700000004
193, Baikonur Cosmodrome Kazakhstan,63.40837213703634,45.917893199999995
