country,launches
Australia,6
Brazil,3
China,269
France,303
India,76
Iran,14
Israel,11
Japan,126
Kazakhstan,701
Kenya,9
Kiribati,36
New Zealand,13
North Korea,5
Russia,1398
South Korea,3
Spain,2
United States,1349
